Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
er2_link,0.197462429120894,-0.0440999940453563,-3.52105417904536E-05,0,0,0,0.628578624405718,0.000480821738675714,-3.75185410856228E-10,-1.85256435126848E-05,0.00886033170293825,-4.0489025887678E-10,0.00886086175355616,0,0,0,0,0,0,package://kp07_v11/meshes/er2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/er2_link.STL,,KP07-C0000-1/KP07-A6000-9/KP07-A6100-1/KP07-A6101-1,ER-2-Coordinate-System,ER-2-Axis,er2_joint,revolute,0.0529846596374948,0,-0.120190890324769,0,-0.698131700796878,0,dr_link,0,-1,0,0,0,0,0,,,,,,,,
fr2_link,0.287629873543023,-0.0440999994468663,-7.56109952426698E-10,0,0,0,0.264532899870703,0.000113008901231921,-9.79610517149318E-14,1.34439195751317E-13,0.00189696858726909,1.42663911398839E-10,0.00189622601241861,0,0,0,0,0,0,package://kp07_v11/meshes/fr2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/fr2_link.STL,,KP07-C0000-1/KP07-A6000-9/KP07-A4200-1/KP07-A4201-1,ER-2-Coordinate-System,FR-2-Axis,fr2_joint,prismatic,0,0,0,0,0,0,er2_link,-1,0,0,0,0,0,0,,,,,,,,
br2_link,0.197273847661975,-0.0368553984092451,-3.52150001771134E-05,0,0,0,0.628578680959621,0.000480821780569167,-2.51386241371685E-10,-2.14871507066869E-05,0.00883230204805584,-4.37982873029519E-10,0.0088328320913368,0,0,0,0,0,0,package://kp07_v11/meshes/br2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/br2_link.STL,,KP07-C0000-1/KP07-A4000-6/KP07-A4100-1/KP07-A4101-1,BR-2-Coordinate-System,BR-2-Axis,br2_joint,revolute,0.0289140155081158,0.0368554,0.0528258861358218,0,1.04719755119658,0,ar_link,0,1,0,0,0,0,0,,,,,,,,
cr2_link,0.287629872273465,-0.0368554012777118,1.74653747020415E-09,0,0,0,0.264532899917143,0.000113008901120392,3.6792746927376E-14,-1.10059907015829E-13,0.00189696858662352,1.42608284249518E-10,0.00189622601190326,0,0,0,0,0,0,package://kp07_v11/meshes/cr2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/cr2_link.STL,,KP07-C0000-1/KP07-A4000-6/KP07-A4200-1/KP07-A4201-1,BR-2-Coordinate-System,CR-2-Axis,cr2_joint,prismatic,0,0,0,0,0,0,br2_link,-1,0,0,0,0,0,0,,,,,,,,
al_link,0.0128924732188366,1.20124064584282E-07,0.106969653014066,0,0,0,1.41326466643614,0.00637579594524731,-2.27874977995626E-10,-3.10838664083575E-05,0.00710485711693361,3.11793799037392E-09,0.0012877634442907,0,0,0,0,0,0,package://kp07_v11/meshes/al_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://kp07_v11/meshes/al_link.STL,,KP07-A0000-1/KP07-A1000-1/KP07-A1011-1;KP07-A0000-1/KP07-A1000-1/KP07-A1011m-2;KP07-A0000-1/KP07-A1000-1/KP07-A1001m-6;KP07-A0000-1/KP07-A1000-1/KP07-A1001-1;KP07-A0000-1/KP07-A1000-1/KP07-A1004-2;KP07-A0000-1/KP07-A1000-1/KP07-A1005-3,AL-Coordinate-System,AL-Axis,al_joint,revolute,0.37366,0.127,0.518551908545377,0,0,0,base_link,0,0,1,0,0,-0.1745329251994,0.5235987755983,,,,,,,,
bl1_link,0.19727384996539,-0.0368554040691033,3.52116507004174E-05,0,0,0,0.628578692324575,0.000480821788218688,2.32649101771789E-10,2.14871238008619E-05,0.00883230225110046,-4.40062898070931E-10,0.00883283229508432,0,0,0,0,0,0,package://kp07_v11/meshes/bl1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/bl1_link.STL,,KP07-A0000-1/KP07-A4000-5/KP07-A4100-1/KP07-A4101-1,BL-1-Coordinate-System,BL-1-Axis,bl1_joint,revolute,0.0520699999999999,0.0368554,0.18415,0,1.04719755119659,0,al_link,0,1,0,0,0,-1.6580627893946,0,,,,,,,,
cl1_link,0.287629872273464,-0.036855401277712,1.74653702611494E-09,0,0,0,0.264532899917143,0.000113008901120392,3.6793698760718E-14,-1.10056525660622E-13,0.00189696858662352,1.426082840827E-10,0.00189622601190326,0,0,0,0,0,0,package://kp07_v11/meshes/cl1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/cl1_link.STL,,KP07-A0000-1/KP07-A4000-5/KP07-A4200-1/KP07-A4201-1,BL-1-Coordinate-System,CL-1-Axis,cl1_joint,prismatic,0,0,0,0,0,0,bl1_link,-1,0,0,0,0,-0.2032,0,,,,,,,,
dl_link,-0.00480632422544847,-0.0443760029405199,-0.0584944354296069,0,0,0,1.23586993122048,0.0026347115469991,2.74555755908469E-06,-0.000381855113248731,0.00632749739276201,3.2185706709633E-08,0.00396838633976448,0,0,0,0,0,0,package://kp07_v11/meshes/dl_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://kp07_v11/meshes/dl_link.STL,,KP07-A0000-1/KP07-A2000-7/KP07-A2005m-2;KP07-A0000-1/KP07-A2000-7/KP07-A2001m-4;KP07-A0000-1/KP07-A2000-7/KP07-A2001-1;KP07-A0000-1/KP07-A2000-7/KP07-A2005-1,DL-1-Coordinate-System,DL-1-Axis,dl_joint,revolute,0.42291,0.00724460000000129,0,3.14159265358979,-1.30899693899575,-3.14159265358979,cl1_link,0,-1,0,0,0,0,0,,,,,,,,
el1_link,0.197462427551641,-0.0441000049675966,3.5211876222907E-05,0,0,0,0.628578614911236,0.000480821732350888,3.88545619765834E-10,1.85256624635144E-05,0.0088603315826432,-4.03176548745518E-10,0.00886086163260816,0,0,0,0,0,0,package://kp07_v11/meshes/el1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/el1_link.STL,,KP07-A0000-1/KP07-A6000-7/KP07-A6100-1/KP07-A6101-1,EL-1-Coordinate-System,EL-1-Axis,el1_joint,revolute,0.0635000000000012,0,0,0,-0.698131700796892,0,dl_link,0,-1,0,0,0,-1.5359,0,,,,,,,,
fl1_link,0.287629873543023,-0.0440999994468674,-7.56108176069858E-10,0,0,0,0.264532899870707,0.000113008901231923,-9.79611918298471E-14,1.34436215889446E-13,0.00189696858726914,1.42663912841155E-10,0.00189622601241865,0,0,0,0,0,0,package://kp07_v11/meshes/fl1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://kp07_v11/meshes/fl1_link.STL,,KP07-A0000-1/KP07-A6000-7/KP07-A4200-1/KP07-A4201-1,EL-1-Coordinate-System,FL-1-Axis,fl1_joint,prismatic,0,0,0,0,0,0,el1_link,-1,0,0,0,0,-0.2032,0,,,,,,,,
